person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,loan_to_income_ratio,int_rate_to_loan_amt_ratio,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
21,9600,5.0,2,1000,11.14,0,0.1,0,2,0,2,2,0.10416666666666667,0.01114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,9600,1.0,3,5500,12.87,1,0.57,0,3,1,2,1,0.5729166666666666,0.00234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,65500,4.0,3,35000,15.23,1,0.53,0,2,0,4,3,0.5343511450381679,0.00043514285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,54400,8.0,3,35000,14.27,1,0.55,1,4,0,4,3,0.6433823529411765,0.0004077142857142857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,9900,2.0,1,2500,7.14,1,0.25,0,2,0,2,2,0.25252525252525254,0.002856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,77100,8.0,2,35000,12.42,1,0.45,0,3,1,1,3,0.45395590142671854,0.00035485714285714287,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
24,78956,5.0,2,35000,11.11,1,0.44,0,4,0,1,3,0.44328486752115104,0.0003174285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,83000,8.0,1,35000,8.9,1,0.42,0,2,0,1,3,0.42168674698795183,0.00025428571428571427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21,10000,6.0,4,1600,14.74,1,0.16,0,3,0,2,2,0.16,0.0092125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,85000,6.0,2,35000,10.37,1,0.41,0,4,0,1,3,0.4117647058823529,0.00029628571428571426,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21,10000,2.0,1,4500,8.63,1,0.45,0,2,0,2,2,0.45,0.001917777777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,95000,2.0,1,35000,7.9,1,0.37,0,2,0,1,3,0.3684210526315789,0.00022571428571428571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26,108160,4.0,5,35000,18.39,1,0.32,0,4,1,0,3,0.323594674556213,0.0005254285714285714,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
23,115000,2.0,1,35000,7.9,0,0.3,0,4,0,0,3,0.30434782608695654,0.00022571428571428571,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
23,120000,0.0,1,35000,7.9,0,0.29,0,4,0,0,3,0.2916666666666667,0.00022571428571428571,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
23,92111,7.0,6,35000,20.25,1,0.32,0,4,0,1,3,0.3799763329026935,0.0005785714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,113000,8.0,4,35000,18.25,1,0.31,0,4,0,0,3,0.30973451327433627,0.0005214285714285714,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,10800,8.0,2,1750,10.99,1,0.16,0,2,0,2,2,0.16203703703703703,0.00628,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,162500,2.0,1,35000,7.49,0,0.22,0,4,1,0,3,0.2153846153846154,0.000214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25,137000,9.0,5,34800,16.77,0,0.25,1,2,1,0,3,0.25401459854014596,0.00048189655172413794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22,65000,4.0,4,34000,17.58,1,0.52,0,4,0,4,3,0.5230769230769231,0.0005170588235294117,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
24,10980,0.0,1,1500,7.29,0,0.14,0,3,0,2,2,0.1366120218579235,0.00486,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,80000,3.0,4,33950,14.54,1,0.42,1,4,0,1,3,0.424375,0.0004282768777614138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24,67746,8.0,3,33000,12.68,1,0.49,0,3,0,4,3,0.4871136303250376,0.00038424242424242426,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,11000,3.0,5,4575,17.74,1,0.42,1,3,0,2,2,0.4159090909090909,0.0038775956284153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,11000,0.0,1,1400,9.32,0,0.13,0,3,0,2,2,0.12727272727272726,0.006657142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,65000,6.0,2,32500,9.99,1,0.5,0,3,0,4,3,0.5,0.0003073846153846154,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,11389,5.0,3,4000,12.84,1,0.35,1,2,0,2,2,0.3512160856967249,0.00321,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,11520,5.0,2,2000,11.12,1,0.17,0,3,0,2,2,0.1736111111111111,0.00556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,120000,2.0,1,32000,6.62,0,0.27,0,2,1,0,3,0.26666666666666666,0.000206875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26,95000,7.0,3,31050,14.17,1,0.33,1,3,1,1,3,0.3268421052631579,0.0004563607085346216,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26,300000,10.0,3,7800,13.49,0,0.03,0,4,1,0,1,0.026,0.0017294871794871795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,12000,5.0,1,2500,7.51,1,0.21,0,4,0,2,2,0.20833333333333334,0.0030039999999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,48000,1.0,5,30000,18.39,1,0.63,0,2,0,3,3,0.625,0.000613,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
24,64000,8.0,4,30000,14.54,1,0.47,1,3,0,4,3,0.46875,0.0004846666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,75000,4.0,4,30000,16.89,1,0.4,1,4,1,4,3,0.4,0.000563,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23,71500,3.0,4,30000,10.99,1,0.42,0,4,0,4,3,0.4195804195804196,0.00036633333333333337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,62050,6.0,5,30000,17.99,1,0.41,0,2,1,4,3,0.48348106365834004,0.0005996666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,12000,4.0,2,2500,12.69,1,0.21,0,3,0,2,2,0.20833333333333334,0.005076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,300000,10.0,1,20000,7.88,0,0.07,0,4,1,0,3,0.06666666666666667,0.000394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,300000,1.0,6,24250,19.41,0,0.08,1,2,0,0,3,0.08083333333333333,0.0008004123711340207,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,300000,9.0,2,10000,10.38,0,0.03,0,4,1,0,1,0.03333333333333333,0.001038,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,300000,0.0,4,25000,15.33,0,0.08,0,3,1,0,3,0.08333333333333333,0.0006132,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,300000,9.0,5,18000,16.45,0,0.06,0,3,1,0,3,0.06,0.0009138888888888889,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,80690,8.0,1,30000,7.49,1,0.37,0,3,1,1,3,0.37179328293468833,0.0002496666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22,66300,4.0,2,30000,12.69,1,0.38,0,3,0,4,3,0.45248868778280543,0.000423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
26,89028,0.0,1,30000,6.62,1,0.34,0,3,1,1,3,0.33697263782180886,0.00022066666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,78000,4.0,4,30000,10.99,1,0.38,1,4,0,1,3,0.38461538461538464,0.00036633333333333337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,78000,7.0,6,30000,18.62,1,0.38,1,3,0,1,3,0.38461538461538464,0.0006206666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,92004,6.0,3,30000,15.23,1,0.33,1,3,0,1,3,0.32607277944437196,0.0005076666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,97000,7.0,2,30000,10.65,1,0.31,0,2,0,1,3,0.30927835051546393,0.000355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25,120000,9.0,1,30000,7.9,0,0.25,0,4,1,0,3,0.25,0.00026333333333333336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26,280000,4.0,3,10000,15.96,0,0.04,1,3,1,0,1,0.03571428571428571,0.001596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26,277104,0.0,2,20000,11.48,0,0.07,0,3,1,0,3,0.07217506784456378,0.0005740000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,277000,3.0,1,35000,10.99,0,0.13,0,4,0,0,3,0.1263537906137184,0.000314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,128000,9.0,1,30000,7.29,0,0.23,0,4,1,0,3,0.234375,0.000243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24,12000,2.0,5,1750,10.99,0,0.15,1,3,0,2,2,0.14583333333333334,0.00628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,131000,0.0,1,30000,5.99,0,0.23,0,4,0,0,3,0.22900763358778625,0.00019966666666666668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22,275000,6.0,2,12000,11.58,0,0.04,0,2,0,0,0,0.04363636363636364,0.000965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,263000,0.0,2,10000,10.99,1,0.04,0,4,1,0,1,0.03802281368821293,0.001099,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,221850,9.0,4,25000,15.7,1,0.1,0,2,1,0,3,0.1126887536623845,0.000628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,70000,6.0,4,29100,15.99,1,0.42,0,3,0,4,3,0.4157142857142857,0.0005494845360824742,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
22,12000,7.0,4,1500,14.84,0,0.13,1,3,0,2,2,0.125,0.009893333333333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,260000,10.0,2,28000,10.99,0,0.11,0,3,1,0,3,0.1076923076923077,0.0003925,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,259000,9.0,4,20000,14.42,0,0.08,1,2,1,0,3,0.07722007722007722,0.000721,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,255000,9.0,1,9600,6.99,0,0.04,0,2,0,0,1,0.03764705882352941,0.000728125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,250000,2.0,3,25000,13.49,0,0.1,0,4,1,0,3,0.1,0.0005396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25,12000,0.0,3,3000,10.99,1,0.25,0,3,1,2,2,0.25,0.0036633333333333335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,56950,6.0,1,28000,10.99,1,0.49,0,2,0,4,3,0.4916593503072871,0.0003925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,12000,6.0,3,3000,13.61,1,0.25,1,3,0,2,2,0.25,0.004536666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,65000,2.0,1,28000,7.9,1,0.43,0,2,0,4,3,0.4307692307692308,0.00028214285714285716,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26,85000,2.0,1,28000,7.49,1,0.33,0,3,1,1,3,0.32941176470588235,0.0002675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26,12000,2.0,1,6100,7.51,1,0.51,0,3,1,2,1,0.5083333333333333,0.0012311475409836066,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,88000,6.0,2,28000,9.91,1,0.32,0,3,0,1,3,0.3181818181818182,0.00035392857142857144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21,12000,0.0,3,4200,13.48,1,0.35,1,4,0,2,2,0.35,0.0032095238095238097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,12000,6.0,1,4750,7.14,1,0.4,0,2,0,2,2,0.3958333333333333,0.001503157894736842,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,83004,0.0,4,28000,15.99,1,0.34,1,4,0,1,3,0.33733314057153874,0.0005710714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24,250000,2.0,3,18000,12.98,0,0.07,1,3,0,0,3,0.072,0.0007211111111111112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
25,100000,5.0,2,28000,12.69,0,0.28,0,3,1,1,3,0.28,0.0004532142857142857,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,110000,10.0,1,28000,8.9,0,0.25,0,2,1,0,3,0.2545454545454545,0.0003178571428571429,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26,12000,0.0,1,2700,10.99,1,0.23,0,4,1,2,2,0.225,0.00407037037037037,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,108000,6.0,2,28000,10.99,1,0.26,0,4,0,0,3,0.25925925925925924,0.0003925,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
23,151200,7.0,2,28000,11.11,0,0.19,0,2,0,0,3,0.18518518518518517,0.00039678571428571427,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,69000,2.0,1,27600,10.99,1,0.4,0,2,0,4,3,0.4,0.00039818840579710144,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,12000,5.0,5,3250,15.68,1,0.27,1,3,0,2,2,0.2708333333333333,0.004824615384615385,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,70000,4.0,3,27500,13.06,1,0.39,1,3,0,4,3,0.39285714285714285,0.00047490909090909094,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
